iso3,year,gdp,population,internet
ARE,2022,511403403675.97,10074977.0,100.0
ARE,2021,422441388699.796,9575152.0,100.0
ARE,2020,357161878829.135,9401038.0,100.0
ARE,2019,433926208304.969,9445785.0,99.15
ARE,2018,440560108917.631,9346701.0,98.45
BHR,2022,46458191489.3617,1524693.0,100.0
BHR,2021,40840212765.9574,1504365.0,100.0
BHR,2020,35837632978.7234,1472204.0,99.671
BHR,2019,40446808510.6383,1483756.0,99.7015
BHR,2018,39567978723.4043,1503091.0,98.6447
KWT,2022,183502046693.878,4589643.0,99.7237
KWT,2021,148350671489.144,4360865.0,99.7
KWT,2020,111045470605.715,4400267.0,99.1059
KWT,2019,140856394860.529,4442316.0,99.5427
KWT,2018,138646316350.727,4323515.0,99.5988
OMN,2022,109852795838.752,4730226.0,95.2453
OMN,2021,87323797139.1417,4500424.0,95.2388
OMN,2020,75909492847.8544,4522497.0,95.2323
OMN,2019,88060858257.4772,4591241.0,90.2594
OMN,2018,91505851755.5267,4597877.0,85.5
QAT,2022,235709340659.341,2657333.0,99.6528
QAT,2021,179732142857.143,2504910.0,99.6528
QAT,2020,144411538461.538,2794148.0,99.6528
QAT,2019,176371428571.429,2638657.0,99.6528
QAT,2018,183335164835.165,2580734.0,99.6528
SAU,2022,1239075200000.0,32175224.0,100.0
SAU,2021,982661066666.667,30784383.0,100.0
SAU,2020,767951200000.0,31552510.0,97.8623
SAU,2019,888890133333.333,30063799.0,95.7247
SAU,2018,886564800000.0,30196281.0,93.31
THA,2022,495644697587.661,71735329.0,87.9772
THA,2021,506194668789.937,71727332.0,85.2696
THA,2020,500461898480.246,71641484.0,77.8437
THA,2019,543976691793.886,71522271.0,66.6524
THA,2018,506754208404.485,71376079.0,56.8175
